datetime,date,hour,temperature_c,humidity_pct,precipitation_mm,rain_mm,snowfall_cm,snow_depth_m,weather_code,weather_condition,cloud_cover_pct,visibility_m,wind_speed_kmh,wind_gusts_kmh,simple_condition,temperature_f
2025-01-01T00:00,2025-01-01,0,9.1,95,0.9,0.9,0.0,0.0,53,Moderate Drizzle,100,,12.4,37.4,Rain,48.379999999999995
2025-01-01T01:00,2025-01-01,1,8.6,98,0.0,0.0,0.0,0.0,3,Overcast,100,,5.0,23.4,Cloudy,47.48
2025-01-01T02:00,2025-01-01,2,8.9,99,0.0,0.0,0.0,0.0,3,Overcast,100,,8.3,15.1,Cloudy,48.02
2025-01-01T03:00,2025-01-01,3,8.8,98,0.0,0.0,0.0,0.0,3,Overcast,100,,9.3,18.0,Cloudy,47.84
2025-01-01T04:00,2025-01-01,4,8.3,99,0.0,0.0,0.0,0.0,3,Overcast,100,,10.7,20.5,Cloudy,46.94
2025-01-01T05:00,2025-01-01,5,7.9,97,0.0,0.0,0.0,0.0,0,Clear,6,,14.2,28.1,Clear,46.22
2025-01-01T06:00,2025-01-01,6,6.7,96,0.0,0.0,0.0,0.0,0,Clear,15,,13.3,28.4,Clear,44.06
2025-01-01T07:00,2025-01-01,7,5.6,96,0.0,0.0,0.0,0.0,0,Clear,7,,12.3,26.6,Clear,42.08
2025-01-01T08:00,2025-01-01,8,7.1,96,0.0,0.0,0.0,0.0,0,Clear,13,,12.6,24.8,Clear,44.78
2025-01-01T09:00,2025-01-01,9,8.1,92,0.0,0.0,0.0,0.0,0,Clear,10,,12.3,27.4,Clear,46.58
2025-01-01T10:00,2025-01-01,10,9.6,85,0.0,0.0,0.0,0.0,0,Clear,8,,11.1,26.6,Clear,49.28
2025-01-01T11:00,2025-01-01,11,10.4,76,0.0,0.0,0.0,0.0,1,Mainly Clear,25,,15.9,38.5,Clear,50.72
2025-01-01T12:00,2025-01-01,12,10.9,70,0.0,0.0,0.0,0.0,1,Mainly Clear,35,,15.7,38.2,Clear,51.620000000000005
2025-01-01T13:00,2025-01-01,13,10.6,67,0.0,0.0,0.0,0.0,3,Overcast,100,,19.9,44.6,Cloudy,51.08
2025-01-01T14:00,2025-01-01,14,8.4,70,0.0,0.0,0.0,0.0,3,Overcast,100,,22.5,51.1,Cloudy,47.120000000000005
2025-01-01T15:00,2025-01-01,15,6.8,69,0.0,0.0,0.0,0.0,2,Partly Cloudy,72,,23.2,54.7,Cloudy,44.239999999999995
2025-01-01T16:00,2025-01-01,16,5.9,71,0.1,0.1,0.0,0.0,51,Light Drizzle,51,,20.8,53.3,Rain,42.620000000000005
2025-01-01T17:00,2025-01-01,17,5.2,72,0.1,0.1,0.0,0.0,51,Light Drizzle,20,,19.5,47.9,Rain,41.36
2025-01-01T18:00,2025-01-01,18,4.9,67,0.0,0.0,0.0,0.0,0,Clear,1,,19.7,45.0,Clear,40.82
2025-01-01T19:00,2025-01-01,19,4.6,63,0.0,0.0,0.0,0.0,1,Mainly Clear,20,,19.4,44.6,Clear,40.28
2025-01-01T20:00,2025-01-01,20,5.1,59,0.0,0.0,0.0,0.0,0,Clear,1,,20.0,45.0,Clear,41.18
2025-01-01T21:00,2025-01-01,21,4.6,55,0.0,0.0,0.0,0.0,0,Clear,1,,20.9,47.2,Clear,40.28
2025-01-01T22:00,2025-01-01,22,3.9,54,0.0,0.0,0.0,0.0,0,Clear,1,,18.8,46.8,Clear,39.02
2025-01-01T23:00,2025-01-01,23,3.3,58,0.0,0.0,0.0,0.0,0,Clear,2,,17.8,42.1,Clear,37.94
2025-01-02T00:00,2025-01-02,0,3.0,61,0.0,0.0,0.0,0.0,0,Clear,0,,17.7,40.0,Clear,37.4
2025-01-02T01:00,2025-01-02,1,2.5,59,0.0,0.0,0.0,0.0,0,Clear,0,,18.7,41.8,Clear,36.5
2025-01-02T02:00,2025-01-02,2,2.0,63,0.0,0.0,0.0,0.0,0,Clear,1,,18.2,42.1,Clear,35.6
2025-01-02T03:00,2025-01-02,3,1.8,66,0.0,0.0,0.0,0.0,0,Clear,3,,16.9,40.7,Clear,35.24
2025-01-02T04:00,2025-01-02,4,1.6,67,0.0,0.0,0.0,0.0,1,Mainly Clear,35,,16.4,37.8,Clear,34.88
2025-01-02T05:00,2025-01-02,5,1.1,66,0.0,0.0,0.0,0.0,0,Clear,12,,16.9,37.8,Clear,33.98
2025-01-02T06:00,2025-01-02,6,0.6,66,0.0,0.0,0.0,0.0,0,Clear,5,,17.9,40.3,Clear,33.08
2025-01-02T07:00,2025-01-02,7,0.3,66,0.0,0.0,0.0,0.0,0,Clear,17,,16.4,40.0,Clear,32.54
2025-01-02T08:00,2025-01-02,8,1.9,60,0.0,0.0,0.0,0.0,0,Clear,0,,18.0,41.4,Clear,35.42
2025-01-02T09:00,2025-01-02,9,3.0,58,0.0,0.0,0.0,0.0,0,Clear,4,,18.2,42.5,Clear,37.4
2025-01-02T10:00,2025-01-02,10,4.0,55,0.0,0.0,0.0,0.0,0,Clear,1,,18.0,40.7,Clear,39.2
2025-01-02T11:00,2025-01-02,11,4.8,50,0.0,0.0,0.0,0.0,1,Mainly Clear,22,,24.8,58.7,Clear,40.64
2025-01-02T12:00,2025-01-02,12,5.2,47,0.0,0.0,0.0,0.0,2,Partly Cloudy,69,,25.1,56.5,Cloudy,41.36
2025-01-02T13:00,2025-01-02,13,5.4,44,0.0,0.0,0.0,0.0,2,Partly Cloudy,53,,22.6,57.2,Cloudy,41.72
2025-01-02T14:00,2025-01-02,14,5.3,42,0.0,0.0,0.0,0.0,2,Partly Cloudy,63,,24.1,54.4,Cloudy,41.54
2025-01-02T15:00,2025-01-02,15,4.6,44,0.0,0.0,0.0,0.0,3,Overcast,98,,20.0,60.8,Cloudy,40.28
2025-01-02T16:00,2025-01-02,16,3.4,46,0.0,0.0,0.0,0.0,3,Overcast,87,,20.5,47.9,Cloudy,38.12
2025-01-02T17:00,2025-01-02,17,2.2,51,0.0,0.0,0.0,0.0,0,Clear,9,,18.8,47.9,Clear,35.96
2025-01-02T18:00,2025-01-02,18,1.6,53,0.0,0.0,0.0,0.0,2,Partly Cloudy,64,,17.1,42.8,Cloudy,34.88
2025-01-02T19:00,2025-01-02,19,1.2,54,0.0,0.0,0.0,0.0,2,Partly Cloudy,59,,17.1,38.9,Cloudy,34.16
2025-01-02T20:00,2025-01-02,20,1.5,52,0.0,0.0,0.0,0.0,3,Overcast,82,,19.7,44.6,Cloudy,34.7
2025-01-02T21:00,2025-01-02,21,1.1,54,0.0,0.0,0.0,0.0,2,Partly Cloudy,58,,17.9,44.6,Cloudy,33.98
2025-01-02T22:00,2025-01-02,22,0.7,57,0.0,0.0,0.0,0.0,2,Partly Cloudy,50,,15.3,40.3,Cloudy,33.26
2025-01-02T23:00,2025-01-02,23,0.2,60,0.0,0.0,0.0,0.0,1,Mainly Clear,27,,13.6,34.6,Clear,32.36
